NAME,LATITUDE,LONGITUDE,AMOUNT
AMHERST COLLEGE,42.372459,-72.518493,0
AMRIDGE UNIVERSITY,32.36260915,-86.17401005,0
ANABAPTIST MENNONITE BIBLICAL SEMINARY,41.65601308,-85.97216523,0
ANCILLA COLLEGE,41.337978,-86.445448,0
ANDERSON UNIVERSITY,34.51510045,-82.63919259,0
ANDOVER NEWTON THEOLOGICAL SCHOOL,42.32445509,-71.18950023,0
ANDREW COLLEGE,31.772321,-84.795021,0
ANDREWS UNIVERSITY,41.962449,-86.357045,0
ANGELES COLLEGE,34.06122297,-118.2992023,0
ANGELES INSTITUTE,33.8757845,-118.0807782,0
ANGELINA COLLEGE,31.28504926,-94.7319649,0
ANGELO STATE UNIVERSITY,31.44109764,-100.4664098,0
ANN WEBB SKIN INSTITUTE,30.41974591,-97.75181083,0
ANNA MARIA COLLEGE,42.33055034,-71.91896081,0
ANNE ARUNDEL COMMUNITY COLLEGE,39.04981282,-76.5122235,0
ANNENBERG SCHOOL OF NURSING,34.20082398,-118.5538466,0
ANOKA TECHNICAL COLLEGE,45.21633148,-93.41595463,0
ANOKA-RAMSEY COMMUNITY COLLEGE,45.17297824,-93.35169705,0
ANSON COLLEGE OF COSMETOLOGY,34.96348,-80.055061,0
ANTELOPE VALLEY COLLEGE,34.67620733,-118.1861665,0
ANTILLES SCHOOL OF TECHNICAL CAREERS,18.43832549,-66.05911854,0
ANTIOCH COLLEGE,39.79981331,-83.8880674,0
ANTIOCH UNIVERSITY ONLINE,39.80342377,-83.90860038,0
ANTIOCH UNIVERSITY-LOS ANGELES,33.98853274,-118.3844585,0
ANTIOCH UNIVERSITY-MIDWEST,39.803207,-83.908684,0
ANTIOCH UNIVERSITY-NEW ENGLAND,42.93234396,-72.29379841,0
ANTIOCH UNIVERSITY-PHD PROGRAM IN LEADERSHIP AND CHANGE,39.79862719,-83.89219355,0
ANTIOCH UNIVERSITY-SANTA BARBARA,34.419197,-119.695787,0
ANTIOCH UNIVERSITY-SEATTLE,47.61719071,-122.3425115,0
ANTIOCH UNIVERSITY-SYSTEM ADMINISTRATION,39.79861396,-83.89215387,0
ANTONELLI COLLEGE-CINCINNATI,39.10431183,-84.51073511,0
ANTONELLI COLLEGE-HATTIESBURG,31.34954925,-89.33569175,0
ANTONELLI COLLEGE-JACKSON,32.32891764,-90.12296987,0
ANTONELLI INSTITUTE,40.09073755,-75.20898538,0
ANTONELLI MEDICAL AND PROFESSIONAL INSTITUTE,40.23467377,-75.61738271,0
AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,30.22863211,-97.80088301,0
APARICIO-LEVY TECHNICAL COLLEGE,27.99062485,-82.33228535,0
APEX ACADEMY HAIR SKIN NAILS SCHOOL OF COSMETOLOGY,40.771731,-82.57772934,0
APEX SCHOOL OF THEOLOGY,35.92259857,-78.84127841,0
APEX TECHNICAL SCHOOL,40.75051192,-73.94162154,0
APOLLO CAREER CENTER,40.69221984,-84.14970988,0
APPALACHIAN BEAUTY SCHOOL,37.66983722,-82.28586643,0
APPALACHIAN BIBLE COLLEGE,37.853339,-81.20115,0
APPALACHIAN COLLEGE OF PHARMACY,37.21149569,-82.00522718,0
APPALACHIAN SCHOOL OF LAW,37.278007,-82.096426,0
APPALACHIAN STATE UNIVERSITY,36.2126825,-81.6775196,0
APPLIED TECHNOLOGY SERVICES,38.542285,-90.41323584,0
AQUINAS COLLEGE-GRAND RAPIDS,42.96064725,-85.62530322,0
AQUINAS COLLEGE-NASHVILLE,36.1321866,-86.84421359,0
AQUINAS INSTITUTE OF THEOLOGY,38.63430892,-90.23773588,0
ARAPAHOE COMMUNITY COLLEGE,39.60750518,-105.018631,0
ARCADIA UNIVERSITY,40.0919409,-75.16520514,0
ARCLABS,34.77072,-82.461311,0
